epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,57690,1.64344,0.84788,0.00731,0.79236,0.53202,0.61578,0.32194,1.76171,0.88597,0.00604,0.0044296,0.0044296,0.0044296
56,58574.3,1.63545,0.84228,0.00734,0.79224,0.5338,0.61683,0.32246,1.75791,0.88364,0.006,0.00427565,0.00427565,0.00427565
57,59693.2,1.62808,0.83823,0.00719,0.79203,0.53476,0.61808,0.32372,1.75366,0.88097,0.00598,0.00412246,0.00412246,0.00412246
58,60719.2,1.62313,0.83645,0.00717,0.79352,0.53572,0.61881,0.32427,1.75224,0.87826,0.00596,0.00397019,0.00397019,0.00397019
59,61728.2,1.61976,0.8311,0.00715,0.79883,0.53539,0.62058,0.32548,1.74772,0.87595,0.00592,0.00381899,0.00381899,0.00381899
60,62714.8,1.62038,0.8265,0.00714,0.80131,0.5356,0.62143,0.32563,1.74542,0.87531,0.0059,0.00366899,0.00366899,0.00366899
61,63605.5,1.61429,0.82059,0.00709,0.80206,0.53633,0.62222,0.32606,1.74485,0.87437,0.0059,0.00352037,0.00352037,0.00352037
62,64516.5,1.60691,0.80819,0.00704,0.80059,0.53766,0.62313,0.32625,1.74433,0.87324,0.00589,0.00337325,0.00337325,0.00337325
63,65407.2,1.60958,0.81848,0.00705,0.80099,0.53862,0.62391,0.3266,1.74441,0.8741,0.0059,0.00322778,0.00322778,0.00322778
64,66328.7,1.60182,0.80862,0.00702,0.80526,0.53784,0.62431,0.32726,1.74267,0.87603,0.00589,0.00308412,0.00308412,0.00308412
65,67222.9,1.59624,0.81017,0.00691,0.80411,0.53784,0.62469,0.3275,1.73991,0.87594,0.00587,0.00294239,0.00294239,0.00294239
66,68101.2,1.59465,0.79672,0.00691,0.80369,0.5394,0.62552,0.32789,1.73845,0.87504,0.00586,0.00280275,0.00280275,0.00280275
67,68993.6,1.58402,0.7975,0.00687,0.8058,0.5377,0.62557,0.32831,1.73679,0.87547,0.00584,0.00266532,0.00266532,0.00266532
68,69891.6,1.57991,0.79341,0.00689,0.80654,0.53806,0.62615,0.32875,1.73583,0.87339,0.00584,0.00253024,0.00253024,0.00253024
69,70801.3,1.58319,0.79177,0.0068,0.80513,0.53862,0.62695,0.32919,1.73633,0.87246,0.00584,0.00239766,0.00239766,0.00239766
70,71700.9,1.57528,0.77488,0.00683,0.80229,0.54028,0.62728,0.32931,1.73625,0.87106,0.00583,0.00226769,0.00226769,0.00226769
71,72641.3,1.57275,0.78006,0.00682,0.80364,0.53993,0.62755,0.32985,1.73577,0.8695,0.00583,0.00214046,0.00214046,0.00214046
72,73631.6,1.5673,0.77288,0.00675,0.80496,0.53971,0.62787,0.32981,1.73571,0.87017,0.00582,0.00201611,0.00201611,0.00201611
73,74618.4,1.55918,0.77091,0.0067,0.80451,0.54016,0.62812,0.33027,1.7351,0.86907,0.00582,0.00189475,0.00189475,0.00189475
74,75717.9,1.55802,0.76582,0.00659,0.803,0.54075,0.62812,0.3304,1.7332,0.8701,0.0058,0.00177651,0.00177651,0.00177651
75,77084.6,1.5486,0.76035,0.00658,0.8028,0.54118,0.62854,0.33058,1.73287,0.87012,0.0058,0.00166149,0.00166149,0.00166149
76,78148.9,1.54812,0.76044,0.00665,0.80249,0.54105,0.62878,0.33085,1.73185,0.869,0.0058,0.00154982,0.00154982,0.00154982
77,79133.1,1.55202,0.75866,0.00663,0.80105,0.54142,0.62857,0.33088,1.73191,0.86706,0.0058,0.00144161,0.00144161,0.00144161
